Tweet,New_Tweet
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.', bu guru enakan jadi jablay atau guru esde sih nkayaknya menikmati jadi pecun ini guru 
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'", lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar 
Belakangan ini kok fikiran ampas banget ya',belakangan ini kok fikiran ampas banget ya 
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',ari sarua beki mah repeh monyet xf0 x9f x98 x86 xf0 x9f x98 x86 
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',jadi cowo itu harus gantle kalo ga gantle itu namanya banci 
USER Slga mnr bom \xf0\x9f\x98\x82', slga mnr bom xf0 x9f x98 x82 
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin 
USER kalo kamu noob pasti peluang disakitin nya lebih gede si', kalo kamu noob pasti peluang disakitin nya lebih gede si 
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g", joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,bandara udara internasional ke ajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan 
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",siapapun gubernur dan presidennya rakyatnya ya kita juga 
Ini si USER kerjaannya delay mulu! Setan!',ini si kerjaannya delay mulu setan 
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong., pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong 
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus', itu mah sdh nenek nenek sy heran sama cebong biasay bohong terus 
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,", islam nusantara produk jil dipasarkan dg gencar oleh antek xc2 xb2 jil n nsementara jil anti arab tapi pro aseng n nkata alm kh hasyim muzadi 
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',dari habis sahur sampe jam 10 sibayik udah nete 4x skg rasanya lemas tak terkira xf0 x9f xa4 xa2 
USER Gak kak emak mah gak demen ama yang sipit wkwk', gak kak emak mah gak demen ama yang sipit wkwk 
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL", kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat url
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?", ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang 
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',pegawai guardian training lagi kek mentang2 saya kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari 
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48', xe2 x80 x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat xe2 x80 x9d sanji hbd17thpelautjkt48 
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW, presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw
Edan emang goollnya fabiano!!',edan emang goollnya fabiano 
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw 
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia massya allah 
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦", gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan pese a rakercabsu 
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'", apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa ada hkbp juga kurang nusantara apa 
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",ciptakan situasi kamtibmas menjelang pilkada 2018 kapolsek konang silaturahmi ke tokoh masyarakat
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL, positif kok nse positif respon masyarakat terhadap n cangkul impor n garam impor n beras impor n jagung impor n tenaga kerja impor n esemka impor n nurl
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All", kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu n nistilah xc2 xa0sembahyang xc2 xa0pun lahir dari tradisi ritus xc2 xa0menyembahhyang yang tunggal sama dengan xc2 xa0shalat menyembah all
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,kau pendikan tinggi tapi bodoh gk ada larang bawa agama biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'", btp the best abaikan kaum kampret otak micin 
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'", si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe 
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b", awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu b ini plng sambil ky nhn ngeden dungu xf0 x9f x98 x8b
pinokio umur 3 taonan tuh. #2019GantiPresiden,pinokio umur 3 taonan tuh 2019gantipresiden
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'", cerita silat lae xf0 x9f x98 x80 semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china 
RT USER benci sekali dgn Umat Islam, benci sekali dgn umat islam
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita", provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita
USER dari pada gua nete', dari pada gua nete 
USER Lol bani lowo', lol bani lowo 
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi",takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah beribadah beratus2 th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof mari kita demo diri sendi
"A orang yang suka ke konser-konser, sedikit boros.",a orang yang suka ke konser konser sedikit boros 
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦, sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga 
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa baguss khofifahemilnomer1
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'", udah biasa kali saya kpoper tapi kalo ngomonv sama temen2 saya idol gua banci homo 
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',saya suka video url awal kisah perseteruan haji bolot amp malih tongtong 
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",budaya kafir bersungguh klau hal2 islam tidak diendahkan 
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'", xf0 x9f x8e xb6 la la la hm hmm xf0 x9f x8e xa7 semua diam semua bisu n kita coba tanya sama rumput yg bergoyang n xe2 x99 xab xe2 x99 xab xe2 x99 xab xe2 x99 xaa xe2 x99 xaa xe2 x99 xaa 
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'",apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a xe2 x80 x99raf 200 dan fushilat 36 
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang..., klw ente atheis ngapain sibuk dgn agama orang 
Lengserkan Jokowi Bangsat!!,lengserkan jokowi bangsat 
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU, selamat hari ka ini 2019gantipresiden 2019presidenbaru
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL", bajingan homo nhati2 terhadap anak2 kita terutama di kamar mandi laki2 jgn biarkan sendiri url
USER Iya cocot', iya cocot 
USER karena budaya indonesia., karena budaya indonesia 
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""", yang ngajarin solat a ajah itu orang aseng dia hanya ingin memecah belah islam 
USER x || Lo ngomong aja kaga bener bangke', x lo ngomong aja kaga bener bangke 
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja, kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo 
Kalo seumpama orang cina di usir paksa dari indonesia gimana,kalo seumpama orang cina di usir paksa dari indonesia gimana
USER bunda ngentot yuk', bunda ngentot yuk 
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2, china babi china maling n usirchina https t co 9y4hiwhjp2
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'",bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya n nkalau kami keliru kami tutup akun 
PROYEK KORUPSI REZIM SBY URL,proyek korupsi rezim sby url
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'", wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara 
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,ab pribadi yg senang berkompetisi dalam hal yang baik dan positif
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap, terus menurut lo kitab suci agama apa yg di bilang om mendadakkalap
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?', suka nutup mata kaga ditutup pun udah terlihat te utup gara2 sipit 
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm", sy sbg muslim tdk merasa pak menistakan kitab suci alqur an krn dlm alqur an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm
USER eh kasar kau kampang', eh kasar kau kampang 
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",bentar lagi gua rilis album the onta s wkwkwkwkwk 
USER Ada cebong bang dia merasa paling benar', ada cebong bang dia merasa paling benar 
Najis banget gw ngetwit apa barusan wey',najis banget gw ngetwit apa barusan wey 
Kamu transgender atau gmn anjing :( URL,kamu transgender atau gmn anjing url
USER awas bintitan lu ngintipin titit kucing', awas bintitan lu ngintipin titit kucing 
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'", bawel baper bolot baik bodor gaje wkwk apa ya udah itu aja deh 
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'", saya saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh 
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,jgn salah target bkn ahok agenda utama lengserkan jokowi 
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden, masa baru kena hestek aja udah kepanasan kepo banget 2019gantipresiden
"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL",maju lu sini duit tapi kau goyang kaki tak buat pape mana la duit nak maju kat kau bodo url
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k", hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik nterjadilah perpecahan dan berdirilah hkbp yg p ama kali di tarutung n nnah skrg anda sy k
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",ha ha banyak baca biar pintar jepang amerika china utang sama siapa anda tau enggak 
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
USER USER dan yang takut dengan adzan adalah IBLIS', dan yang takut dengan adzan adalah iblis 
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.', yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal 
USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82', wuih cebong sewot n xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,padahal gubernur saat ini djarot mayoritas pa ai politik di dprd juga pendukung ahok djarot payah ya mereka url
"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'", rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya 
"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",saat orang orang saling menuding antek aseng aseng sesungguhnya be epuk tangan 
USER Nah loh katanya anti aseng', nah loh katanya anti aseng 
"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",selamat pak semoga bisa terus berkiprah bahkan tingkat nasional 
#AsyikM3nang saya sih ikut ulama saja, asyikm3nang saya sih ikut ulama saja
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora, yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora
USER Anak pecun... ga jauh2 dr hobi zina.. haha', anak pecun ga jauh2 dr hobi zina haha 
USER QUE BOM SBBSNSN', que bom sbbsnsn 
"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003", istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun 2003
"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",pada 1979 house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya 
"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.", tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin 
USER Ian pantat', ian pantat 
"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'", ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik 
Pendaftaran Capres untuk #Pilpres2019 saja belum dibuka sampai Agustus 2018...yang normatif begini politikus PDIP masih belum paham? #2019GantiPresiden !!,pendaftaran capres untuk pilpres2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus pdip masih belum paham 2019gantipresiden 
Si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang DPR paya cebong URL,si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong url
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?!! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 :)))',dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke laki2 
Cina perusak bangsa!! Usir !! Stuju??,cina perusak bangsa usir stuju 
#2019GantiPresiden scra konstitusional hak setiap rakyat woiii!! . Gini nih kalo planga plongo tapi kelakuan otoriter., 2019gantipresiden scra konstitusional hak setiap rakyat woiii gini nih kalo planga plongo tapi kelakuan otoriter 
Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦,mari kita wujudkan pilkada kota bengkulu 2018 aman dan damai coki adem86 98heru 
"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'",mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantara knp tdk ada kristen nusantara budha hindu bahkan kong huchu nusantara 
KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam,korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
cowo yang jago drasex mana? sini ngentot sama adek - luvian',cowo yang jago drasex mana sini ngentot sama adek luvian 
"USER kroasia itu kapir tauuu,ngapain blajar sm kapir...udh lupa sm kapling sorga??'", kroasia itu kapir tauuu ngapain blajar sm kapir udh lupa sm kapling sorga 
USER USER loh bukan nya mentri suharto ada yg homo?', loh bukan nya mentri suha o ada yg homo 
Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)',saya tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik buruk 
Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam',pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam 
